st_spectype,st_teff,st_mass
A1IV,9360,2.07
A2V,8720,1.76
A2V,8840,1.96
A7V,7800,1.75
A8V,7500,1.47
A8V,7500,1.62
A8V,7598,1.46
B2IV,21700,9.1
B9IV,10700,2.45
B9IV,10900,2.6
F0V,6203,1.13
F0V,6346,1.21
F0V,6096,1.23
F0V,6150,1.24
F0V,6466,1.35
F1V,7000,1.59
F1V,6900,1.49
F2V,6850,1.45
F3V,6651,1.47
F3V,6730,1.32
F3V,6740,1.37
F3V,6643,1.4
F4V,6670,1.52
F4V,6387,1.41
F4V,6630,1.52
F5IV,6510,1.48
F5V,6202,1.32
F5V,6290,1.07
F5V,6327,1.09
F5V,6489,1.33
F5V,6500,1.44
F5V,6500,1.31
F5V,6516,1.5
F5V,6557,1.18
F5V,6583,1.32
F5V,6655,1.4
F5V,6478,1.64
F5V,5700,1.32
F5V,6400,1.25
F5V,6429,1.41
F6IV,6131,1.34
F6V,6400,1.35
F6V,6257,1.28
F6V,6300,1.16
F6V,6367,1.39
F6V,6390,1.01
F6V,6440,1.27
F6V,6576.6,1.4
F6V,6311,1.35
F6V,6394,1.32
F6V,6400,1.31
F6V,6459,1.35
F6V,6350,1.38
F6V,6400,1.3
F6V,6250,1.2
F7IV,6260,1.1
F7V,6097,1.21
F7V,6210,1.42
F7V,6236,1.21
F7V,6255,1.2
F7V,6255,1.16
F7V,6273,1.2
F7V,6291,1.56
F7V,6314,1.21
F7V,6317,1.5
F7V,6350,1.29
F7V,6124,1.16
F7V,6170,1.21
F7V,6096,1.19
F7V,6200,1.15
F7V,6600,1.3
F7V,6040,1.1
F8IV,6200,1.29
F8IV,6239,1.22
F8V,5904,1.16
F8V,5966,1.02
F8V,5988,0.91
F8V,5994,1.23
F8V,6050,1.1
F8V,6072,1.28
F8V,6089,1.15
F8V,6120,1.07
F8V,6130,1.2
F8V,6140,1.13
F8V,6160,1.09
F8V,6188,1.36
F8V,6196,1.21
F8V,6200,1.21
F8V,6208,1.14
F8V,6255,1.29
F8V,6330,1.36
F8V,6150,1.13
F8V,6050,1.27
F8V,6000,1.18
F8V,6050,1.4
F8V,6330,1.34
F8V,6119,1.17
F8V,6520,1.14
F8V,6250,1.13
F8V,6300,1.24
F8V,6110,1.22
F8IV,6097,1.34
F8V,6120,1.26
F9IV,6030,1.3
F9IV,5990,1.19
F9V,6035,1.13
F9V,6090,1.21
F9V,6090,1.05
F9V,6099,1.23
F9V,6100,1
F9V,6132,1.28
F9V,6218,1.11
F9V,6165,1.14
F9V,6057,1.01
F9V,6100,1.16
F9V,6050,1.19
F9V,6000,1.08
F9V,6000,1.26
G0V,5600,1.04
G0V,5780,1.12
G0V,5846,1.13
G0V,5991,1.09
G0V,5491,0.94
G0V,5912,1
G0V,5225,0.89
G0V,5752,0.99
G0V,5185,0.83
G0V,5634,1.03
G0V,5534,0.99
G0V,6000,1.15
G0V,5925,1.03
G0V,5626,0.95
G0IV,5891,1.23
G0IV,5980,1.28
G0IV,5990,1.6
G0IV,6147,1.3
G0IV,6200,1.38
G0IV,5907,1.32
G0V,6041,1.32
G0V,5766,1.09
G0V,5794,1.07
G0V,5836,1.07
G0V,5844,1.01
G0V,5882,1.06
G0V,5900,1.14
G0V,5904,0.98
G0V,5920,1.07
G0V,5945,1.09
G0V,5945,1.15
G0V,5948,1.11
G0V,5950,0.95
G0V,5950,1.03
G0V,5957,1.18
G0V,5961,1.17
G0V,5966,1.16
G0V,6012,1.29
G0V,6021,1.28
G0V,6034,1.22
G0V,6037,1.09
G0V,6055,1.24
G0V,6058,1.19
G0V,6071,1.26
G0V,6075,1.22
G0V,6079,1.2
G0V,6149,1.22
G0V,6215,1.22
G0V,6234,1.22
G0V,6148,1.03
G0V,5962,1.04
G0V,6007,1.15
G0V,5738,1.03
G0V,5960,1.08
G0V,6000,1.23
G0V,5900,1.12
G0V,5910,1.09
G0V,6250,1.41
G0V,6212,1.19
G0V,5627,0.89
G0V,5970,1.08
G0V,5975,1.22
G0V,6047,1.12
G1IV,5980,1.47
G1V,5837,1.08
G1V,5860,1.26
G1V,5863,1.02
G1V,5909,1.17
G1V,5911,1.06
G1V,5972,1.38
G1V,6017,1.29
G1V,6099,1.31
G1V,5725,0.91
G1V,5880,1.15
G1V,6000,1.1
G1V,5900,1.08
G1V,5750,1
G1V,5737,1
G2IV,5700,1.25
G2IV,5861,1.22
G2IV,6037,1.33
G2IV,5800,1.12
G2IV,5757,1.19
G2IV,5820,1.26
G2V,5847,1.35
G2V,5630,1.19
G2V,5706,1.03
G2V,5731,1.03
G2V,5740,1.04
G2V,5757,1.07
G2V,5765,1.13
G2V,5790,0.99
G2V,5855,1.05
G2V,5861,1.25
G2V,5880,1.14
G2V,5899,0.94
G2V,5903,1.06
G2V,5926,1.06
G2V,5929,0.95
G2V,5754,1.21
G2V,5781,1.16
G2V,5750,1.15
G2V,5800,0.96
G2V,5820,1.05
G2V,5747,1.13
G2V,5840,0.98
G2V,5838,1.26
G2V,5806,0.95
G2V,5800,0.94
G2IV,5793,1.12
G2V,5760,1
G2V,5902,0.96
G2V,5977,1.04
G3III,4846,2.49
G3IV,4893,0.99
G3IV,5655,1.08
G3IV,5667,1.17
G3V,5737,0.94
G3IV,5842,1.06
G3V,5413,0.9
G3V,5625,0.99
G3V,5641,1.13
G3V,5650,0.98
G3V,5725,1
G3V,5726,0.83
G3V,5730,0.97
G3V,5738,0.97
G3V,5790,1.04
G3V,5830,1
G3V,5892,1.18
G3V,5897,1.1
G3V,5921,1.04
G3V,5921,1.04
G3V,5939,1.1
G3V,5995,1.24
G3V,5750,1.17
G3V,5700,0.89
G3V,5870,1.06
G3V,5631,1.2
G3V,5790,1.03
G4IV,5697,1.48
G4IV,5873,1.15
G4V,5500,0.97
G4V,5694,0.98
G4V,5727,1.01
G4V,5759,1
G4V,5770,1.18
G4V,5623,0.94
G4V,5560,0.85
G4V,5638,0.81
G4V,5650,1.02
G4V,5720,0.9
G4V,5880,0.97
G5III,4785,2.4
G5IV,5041,1.23
G5IV,5052,1.56
G5IV,5360,1.22
G5IV,5494,1.2
G5IV,5543,1.09
G5IV,5567,1.48
G5IV,5680,1.11
G5IV,5684,1.15
G5IV,5727,1.03
G5IV,5810,1.14
G5V,5635,1.17
G5IV,5635,1.42
G5V,5650,1.28
G5IV,5950,1.12
G5V,5314,0.94
G5V,5317,0.89
G5V,5470,0.94
G5V,5474,0.96
G5V,5485,0.99
G5V,5519,0.95
G5V,5527,0.92
G5V,5558,1.09
G5V,5620,1.03
G5V,5650,1.1
G5V,5688,0.99
G5V,5688,1.02
G5V,5767,1.04
G5V,5783,1.05
G5V,5783,1.04
G5V,5793,1
G5V,5922,1.13
G5V,5957,1.18
G5V,5520,0.99
G5V,5597,1.01
G5V,5518,0.97
G5V,5520,0.95
G5V,5780,1.01
G5V,5780,1.01
G5V,5780,1.01
G5V,5725,0.96
G5V,5725,0.96
G5V,5725,0.96
G5V,5610,1
G5V,5730,0.99
G5V,5665,0.98
G5V,5675,0.98
G5V,6112,1.09
G5V,5793,1.04
G6III,5054,2
G6IV,5643,1.5
G6V,5392,0.71
G6V,5425,0.9
G6V,5428,1.01
G6V,5429,0.95
G6V,5505,0.95
G6V,5507,0.97
G6V,5542,0.96
G6V,5585,0.96
G6V,5621,1.05
G6V,5646,1.09
G6V,5672,1.03
G6V,5726,1.1
G6V,5732,1.08
G6V,5744,1.15
G6V,5620,1.12
G6V,5600,0.99
G6V,5600,1.02
G6V,5600,1
G7III,4882,1.6
G7III,4892,2.15
G7III,4892,2.39
G7IV,5537,1.1
G7V,5732,1.05
G7V,5280,0.91
G7V,5358,0.94
G7V,5676,0.95
G7V,5443,0.77
G7V,5550,1
G7V,5485,0.91
G8III,4742,2.7
G8III,4826,1.1
G8III,4851,1.08
G4III,4770,2.17
G8III,5038,1.57
G8IV,5060,1.65
G8IV,5220,1.68
G8IV,5386,1.01
G8IV,5577,1.03
G8IV,5585,1.15
G8IV,5620,1.19
G8IV,5646,1.02
G8V,5430,1.05
G8V,5283,0.92
G8V,5330,0.93
G8V,5426,1.02
G8V,5427,0.92
G8V,5477,0.92
G8V,5494,0.83
G8V,5576,0.87
G8V,5581,0.98
G8V,5605,0.89
G8V,5493,1
G8V,5330,0.88
G8V,5397,0.97
G8V,5420,0.94
G8V,5500,1
G4V,5510,1
G8V+,5362,1.05
G8IV,5150,1.01
G8III,5078,1.64
G9III,4815,2.4
G9III,4815,2.4
G9III,4861,2.4
G9III,4742,1
G9IV,5404,0.95
G9V,5499,0.98
G9V,5250,0.92
G9V,5275,0.93
G9V,5293,0.87
G9V,5311,0.87
G9V,5315,0.87
G9V,5348,0.81
G9V,5368,0.88
G9V,5400,0.92
G9V,5430,0.93
G9V,5432,0.86
G9V,5440,0.95
G9V,5441,0.93
G9V,5743,1.12
G9V,5331,0.86
G9V,5328,0.94
G9V,4884,0.8
G9V,5255,0.94
G9V,5325,0.85
G9V,5372,0.81
G9V,5455,0.79
K0V,4803,0.76
K0V,5151,0.87
K0V,5257,0.9
K0V,5257,0.9
K0V,5257,0.9
K0V,4174,0.57
K0V,4960,0.88
K0V,5170,0.89
K8V,4552,0.68
K9V,4435,0.73
K0III,4155,1.8
K0III,4348,1.7
K0III,4414,0.74
K0III,4650,2.3
K0III,4665,1.4
K0III,4750,1.15
K0III,4765,1.5
K0III,4805,1.3
K0III,4806,1.07
K0III,4813,2.2
K0III,4820,1
K0III,4823,1.39
K0III,4844,2.54
K0III,4854,1.55
K0III,4861,1.78
K0III,4890,1.63
K0III,4891,1.28
K0III,5000,2.5
K0III,5025.4,1.52
K0III,5040,1.89
K0III,4822,1.47
K0III,4886,2.7
K0IV,4689,1.3
K0III,5040,1.91
K0IV,4959,1.74
K0IV,4978,1.7
K0IV,5127,0.81
K0V,5196,0.91
K0IV,5374,0.91
K0V,5070,0.8
K0V,5072,0.78
K0V,5138,0.87
K0V,5177,0.83
K0V,5198,0.9
K0V,5205,0.67
K0V,5221,0.88
K0V,5260,0.97
K0V,5261,0.86
K0V,5308,0.84
K0V,5312,0.95
K0V,5317,0.89
K0V,5340,0.92
K0V,5360,1.14
K0V,5434,0.82
K0V,5436,0.95
K0V,5442,1
K0V,5448,1
K0V,5466,0.82
K0V,5467,0.94
K0V,5200,0.91
K0V,5321,0.91
K0V,5241,0.89
K0V,5320,0.86
K0V,5282,0.87
K0V,5298,0.82
K0V,5310,0.91
K0V,5251,0.88
K0V,5250,0.88
K0V,5298,0.87
K0V,5266,0.8
K0V,5075,0.83
K0V,5212,0.83
K0III,5020,1.74
K1III,4393,1.09
K1III,4415,1.23
K1III,4580,1.13
K1III,4698,1.17
K1III,4766,2.12
K1III,4769,1.04
K1III,4769,1.04
K1III,4792,1.52
K1III,4805,1.66
K1III,4842,1.68
K1III,4845,1.17
K1III,4850,1.74
K1III,4859,1.4
K1III,4866,1.81
K1III,4883,1.3
K1III,4909,2.07
K1III,4945,2.42
K1III,4985,2.41
K1III,4860,1.61
K1IV,4757,1.31
K1IV,4943,1.5
K1IV,4744,1.2
K1V,4950,0.91
K1V,5075,0.89
K1V,5079,0.74
K1V,5080,0.88
K1V,5125,0.9
K1V,5160,0.86
K1V,5212,0.85
K1V,5222,0.86
K1V,5378,0.93
K1V,5165,0.89
K1V,5170,0.93
K1V,5150,0.87
K1V,5187,0.9
K1V,5215,0.9
K1V,5200,0.79
K1V,4749,1.1
K1V,5214,0.93
K1III,4200,0.98
K1V,5225,0.96
K2II,4137,2.8
K2III,4152,0.91
K2III,4153,1.3
K2III,4323,1.1
K2III,4361,1.69
K2III,4445,2.17
K2III,4658,1.9
K2III,4780,2.1
K2III,4406,1.7
K2III,4504,1.54
K2III,4538.2,1.5
K2III,4388,2.3
K2III,4670,1.17
K2IV,5034,1.56
K2V,4881,0.79
K2V,4914,0.8
K2V,4924,0.8
K2V,4929,0.85
K2V,4969,0.79
K2V,4975,0.83
K2V,5008,0.86
K2V,5035,0.77
K2V,5037,0.84
K2V,5110,0.71
K2V,5122,0.84
K2V,5122,0.84
K2V,5145,0.86
K2V,5160,0.86
K2V,4925,0.69
K2V,4987,0.66
K2V,5044,0.81
K2V,5052,0.82
K2V,5200,0.81
K2V,4900,0.76
K2V,5000,0.87
K2V,5000,0.82
K2V,4819,0.8
K2V,4931,0.79
K2V,4956,0.77
K2V,4985,0.84
K2V,4969,0.88
K2V,5059,0.79
K3III,4140,4.3
K3III,4157,1.22
K3III,4297,0.82
K3III,4284,1.35
K3III,4284,1.35
K3IV,4917,1.41
K3IV,4958,1.51
K3IV,4573,1
K3V,4699,0.78
K3V,4742,0.68
K3V,4746,0.74
K3V,4792,0.77
K3V,4870,0.78
K3V,4875,0.65
K3V,4935,0.77
K3V,5010,0.74
K3V,5017,0.79
K3V,5113,0.87
K3V,4660,0.72
K3V,4900,0.81
K3V,4684,0.77
K3V,4716,0.69
K3V,4716,0.69
K3IV,4795,0.78
K4III,4340,1.8
K4III,4700,1.35
K4III,4200,1.37
K4III,4092.1,1.7
K4III,4126,1.4
K4V,4511,0.73
K4V,4590,0.78
K4V,4610,0.77
K4V,4640,0.73
K4V,4680,0.76
K4V,4684,0.67
K4V,4908,0.76
K4V,4600,0.71
K4V,4503,0.73
K4V,4622,0.73
K5III,4069,1.8
K5III,4296,0.8
K5III,4055,1.13
K5V,4021,0.57
K5V,4269,0.61
K5V,4364,0.71
K5V,4444,0.74
K5V,4503,0.7
K5V,4714,0.74
K5V,4799,0.69
K5V,4600,0.7
K5V,4400,0.69
K5V,4309,0.72
K5V,4580,0.74
K5V,4650,0.72
K6V,4219,0.64
K6V,4255,0.66
K6V,4227,0.66
K6V,4440,0.74
K6V,4591,0.73
K7V,4045,0.6
K7V,4051,0.68
K7V,4060,0.85
K7V,4105,0.63
K7V,4120,0.65
K7V,4127,0.61
K7V,4203,0.69
K7V,4236,0.62
K7V,4373,0.66
K7V,4475,0.57
K7V,4017,0.64
K7V,4145,0.57
K7V,4251,0.65
K7V,3930,0.61
K8V,5144,0.82
K8V,5096,0.85
K9V,4462,0.58
K9V,4685,0.7
M0V,3875,0.6
M4V,3280,0.16
M0V,3100,0.17
M0V,3746,0.55
M0V,3844,0.55
M0V,3861,0.57
M0V,3388.8,0.39
M0V,3322,0.34
M0V,3216,0.16
M3V,3300,0.17
M6V,2960,0.14
M6V,2960,0.14
M0III,3940,1.14
M0V,3803,0.44
M0V,3830,0.6
M0V,3926,0.64
M0V,4014,0.64
M0V,3983,0.56
M0V,4096,0.59
M0V,3985,0.56
M0V,3894,0.52
M0V,3914,0.55
M0V,3887,0.51
M0V,4208,0.61
M0V,3887,0.55
M0V,4072,0.59
M0V,3944,0.52
M0V,3880,0.51
M0V,3898,0.56
M0V,3929,0.57
M0V,4040,0.59
M0V,3896,0.54
M0V,3893,0.54
M0V,4238,0.64
M0V,3799,0.54
M0V,3985,0.58
M0V,3650,0.47
M0V,3913,0.64
M0V,3901,0.63
M0V,3896,0.6
M0V,3933,0.58
M0V,3940,0.65
M0V,3978,0.67
M0V,4005,0.64
M0V,4090,0.58
M0V,4090,0.58
M0V,3950,0.59
M0V,4065,0.61
M0V,3810,0.58
M0V,3837,0.57
M0V,3997,0.63
M0V,3659,0.53
M0V,3863,0.56
M0V,3728,0.51
M0V,3662,0.47
M1III,4035,1.6
M1V,3655,0.51
M1V,3685,0.52
M1V,3688,0.49
M1V,3724,0.57
M1V,3810,0.54
M1V,3841,0.52
M1V,3871,0.57
M1V,3761,0.48
M1V,3834,0.51
M1V,3682,0.46
M1V,3767,0.51
M1V,3750,0.54
M1V,3807,0.49
M1V,3793,0.54
M1V,3727,0.52
M1V,3814,0.58
M1V,3816,0.54
M1V,3726,0.49
M1V,3678,0.49
M1V,3800,0.62
M1V,3690,0.51
M1V,3709,0.54
M1V,3522,0.45
M1V,3654,0.43
M1V,3676,0.53
M1V,3745,0.59
M1V,3785,0.56
M1V,3799,0.53
M1V,3913,0.58
M1V,3734,0.5
M1V,3350,0.33
M1V,3585,0.44
M1V,3600,0.41
M1V,3601,0.39
M1V,3655,0.46
M1V,3805,0.52
M1V,3709,0.47
M2III,3935,1.2
M2V,3370,0.36
M2V,3556,0.52
M2V,3567,0.38
M2V,3584,0.52
M2V,3663,0.54
M2V,3568,0.44
M2V,3517,0.38
M2V,3573,0.44
M2V,3514,0.39
M2V,3576,0.52
M2V,3514,0.42
M2V,3480,0.42
M2V,3579,0.43
M2V,3490,0.34
M2V,3476,0.51
M2III,3860,1.84
M2V,3348,0.29
M2V,3390,0.3
M2V,3457,0.36
M2V,3499,0.46
M2V,3505,0.34
M2V,3510,0.42
M2V,3557,0.45
M2V,3580,0.47
M2V,3437,0.46
M2V,3759,0.44
M2V,3433,0.43
M2V,3708,0.58
M2V,3459,0.41
M2V,3460,0.36
M2V,3542,0.41
M3V,3191,0.49
M3V,3341,0.33
M3V,3405,0.49
M3V,3406,0.37
M3V,3413,0.41
M3V,3420,0.3
M3V,3492,0.46
M3V,3540,0.49
M3V,3412,0.31
M3V,3367,0.31
M3V,3415,0.27
M3V,3381,0.24
M3V,3403,0.31
M3V,3553,0.48
M3V,3618,0.43
M3V,3385,0.36
M3V,3420,0.4
M3V,3451,0.36
M3V,3720,0.51
M3V,3475,0.43
M3V,3496,0.34
M3V,3434,0.49
M3V,3386,0.4
M3V,3410,0.33
M3V,3340,0.32
M3V,3369,0.31
M3V,3370,0.36
M3V,3500,0.4
M3V,3530,0.4
M3V,3360,0.38
M3V,3422,0.37
M3V,3260,0.34
M4V,3185,0.25
M4V,3250,0.18
M4V,3250,0.26
M4V,3623,0.33
M4V,3203,0.14
M4V,3331,0.4
M4V,3100,0.16
M4V,3324,0.27
M4V,3326,0.3
M4V,3347,0.29
M4V,3060,0.23
M4V,3207,0.26
M4V,3236,0.18
M4V,3270,0.18
M4V,3273,0.18
M4V,3096,0.18
M4V,3131,0.15
M4V,3071,0.18
M4V,3342,0.34
M4V,3212,0.18
M4V,3151,0.14
M4V,3072,0.17
M5V,3173,0.16
M5V,3130,0.16
M5V,3154,0.15
M5V,3158,0.17
M5V,2953,0.12
M5V,3024,0.12
M5V,3081,0.12
M5V,3050,0.12
M5V,2900,0.12
M5V,3185,0.26
M6V,2850,0.12
M7V,2904,0.09
