Vmag,Plx,B-V,SpType
7.64,5.93,0.056,A0/A1V
9.99,-0.41,1.044,A0:Ia
11.42,-6.63,0.041,A0Ia
11.18,3.24,0.117,A0Ia:
10.95,0.62,0.134,A0Ia:
10.21,-1.3,0.138,A0Ia0
6.07,0.1,0.389,A0Iab
8.19,1.28,0.818,A0Iab
9.9,-1.16,0.33,A0Ib
8.07,0.49,0.535,A0Ib
7.72,1.53,0.056,A0II
6.6,8.06,-0.04,A0III
6.59,3.54,-0.03,A0III
5.97,8.67,-0.008,A0III
5.88,6,-0.014,A0IV
8.28,5.65,0.002,A0IV
4.36,13.57,0.024,A0IV
8.25,3.38,0.087,A0IV
9.71,0.86,0.17,A0IV
8.31,3.15,0.036,A0IV/V
7.88,3.2,0.037,A0IV/V
8.27,3.09,0.075,A0IV/V
8.51,-0.48,0.219,A0IV/V
7.42,5.97,-0.016,A0V
5.7,10.71,-0.01,A0V
6.52,9.78,0.003,A0V
7.36,7.25,0.006,A0V
8.43,5.18,0.007,A0V
4.76,18.97,0.018,A0V
8.65,1.32,0.019,A0V
8.41,3.53,0.022,A0V
6.79,7.36,0.023,A0V
7.72,2.9,0.028,A0V
5.11,14.72,0.028,A0V
7.3,7.4,0.035,A0V
5.07,21.52,0.038,A0V
7,4.97,0.039,A0V
11.14,1.86,0.041,A0V
9.14,-0.01,0.043,A0V
7.45,4.36,0.045,A0V
6.23,9.69,0.052,A0V
10.16,1.53,0.053,A0V
6.57,5.22,0.056,A0V
8.87,3.15,0.081,A0V
8.56,4.15,0.095,A0V
7.83,4.32,0.104,A0V
7.78,3.24,0.105,A0V
8.88,2.24,0.12,A0V
8.59,3.69,0.124,A0V
9.21,0.53,0.142,A0V
8.59,5.54,0.146,A0V
9.52,4.4,0.19,A0V
9.25,2.63,0.224,A0V
10.12,2.83,0.364,A0V
10.95,1.57,0.37,A0V
5.55,14.67,-0.048,A0Vn
6.41,6.18,-0.007,A0Vn
5.29,12.69,0.002,A0Vn
5.32,10.26,-0.014,A0Vnn
6.34,6.34,-0.011,A0Vnn
6.53,3.69,0.051,A0Vs
5.5,14.39,0.083,A1/A2IV
9.05,5.54,0.16,A1/A2IV/V
5.66,1.79,0.595,A1Ia
7.28,0.44,0.637,A1Ia
7.79,0.93,0.364,A1Iab
5.9,0.89,0.274,A1III
6.65,8.63,0.08,A1IV
7.76,2.97,0,A1IV/V
7.21,3.69,0.122,A1IV/V
8.88,2.54,0,A1V
7.21,6.34,0,A1V
6.38,7.75,0.006,A1V
5.58,5.48,0.009,A1V
6.22,11.13,0.009,A1V
7.23,4.91,0.01,A1V
8.15,5.91,0.029,A1V
5.04,17.54,0.031,A1V
8.55,4.12,0.037,A1V
8.85,3.09,0.048,A1V
10.22,4.3,0.05,A1V
8.65,4.33,0.061,A1V
5.62,16.32,0.066,A1V
6.7,10.08,0.07,A1V
8.19,2.95,0.073,A1V
8.68,2,0.078,A1V
8.41,2.77,0.084,A1V
8.61,3.27,0.093,A1V
8.18,4.01,0.096,A1V
8.32,3.76,0.1,A1V
8.12,6.35,0.136,A1V
6.61,5.23,0.137,A1V
5.93,12.45,0.141,A1V
8.45,3.53,0.154,A1V
5.94,13.37,0.154,A1V
10.44,1.29,0.34,A1V
5.8,8.88,-0.016,A1Vn
6.69,4.96,-0.006,A1Vn
6.35,7.92,-0.002,A1Vn
5.33,13.67,0.003,A1Vn
6,11.49,0.029,A1Vn
6.71,6.66,0.068,A1Vn
7.42,9.55,0.191,A1Vs
8.45,3.35,0.045,A1Vvar
9.13,1.38,0.239,A2/A3IV
7.97,3.66,0.1,A2/A3V
7.19,7.38,0.124,A2/A3V
8.11,4.94,0.144,A2/A3V
7.71,4.23,0.121,A2III
6.51,5.62,0.181,A2III
9.16,4.81,0.232,A2III
8.72,5.64,0.267,A2III
5.64,11.24,0.078,A2IV
6.68,3.64,0.084,A2IV
7.46,4.73,0.16,A2IV
8.86,3.69,0.194,A2IV
8.07,3.86,0.088,A2IV/V
6.2,6.24,0.133,A2IV/V
8.52,4.95,0.193,A2IV/V
3.95,20.12,-0.002,A2V
6.7,4.31,0.028,A2V
5.5,8.81,0.029,A2V
4.51,23.11,0.054,A2V
4.61,12.88,0.059,A2V
6.25,5.82,0.062,A2V
6.17,10.21,0.066,A2V
9.38,2.68,0.068,A2V
6.12,10.75,0.068,A2V
8.7,1.54,0.082,A2V
6.92,7.64,0.082,A2V
7.2,-0.69,0.085,A2V
7.71,5.48,0.085,A2V
6.47,7.62,0.089,A2V
7.29,6.19,0.092,A2V
8.45,3.4,0.098,A2V
10.26,-1.75,0.101,A2V
9.01,2.93,0.101,A2V
7.92,6.42,0.108,A2V
9.34,3.31,0.11,A2V
8.42,4.95,0.117,A2V
7.66,6.14,0.139,A2V
7.9,4.44,0.141,A2V
4.53,18.95,0.147,A2V
8.52,2.53,0.16,A2V
8.3,4.48,0.207,A2V
6.87,4.65,0.002,A2V...
6.33,13.67,0.113,A2Vnn
5.41,9.28,0.022,A2Vs
5.18,12.32,0.043,A2Vs
6.15,11.54,0.07,A2Vs
8.85,7.48,0.264,A3/A4III
8.66,3.71,0.264,A3II/III(m)
9.25,7.58,0.3,A3II/IIIp..
7.86,3.51,0.059,A3III
6.4,7.22,0.135,A3III
9.86,2.3,0.157,A3III
8.7,4.19,0.171,A3III
9.49,1.08,0.209,A3III
9.53,3.14,0.229,A3III
6.36,13.96,0.238,A3III
8.83,5.47,0.25,A3III
7.03,5.43,0.147,A3III/IV
8.44,2.39,0.209,A3III/IV
6.27,3.8,0.132,A3IV
6.72,10.94,0.137,A3IV
4.49,27.91,0.164,A3IV
9.24,1.99,0.133,A3IV/V
5.12,10.55,-0.06,A3V
5.6,11.98,0.008,A3V
4.74,10.49,0.032,A3V
6.28,6.59,0.05,A3V
5.13,14.83,0.071,A3V
8.33,3.61,0.1,A3V
8.74,3.43,0.104,A3V
8.98,2.92,0.107,A3V
6.46,10.15,0.107,A3V
5.56,20.23,0.121,A3V
6.48,5.16,0.122,A3V
8.44,1.58,0.127,A3V
6.63,7.04,0.127,A3V
5.17,18.08,0.128,A3V
6.18,12.63,0.131,A3V
6.86,9.56,0.139,A3V
7.53,4.86,0.143,A3V
8.28,4.03,0.148,A3V
7.18,8.95,0.156,A3V
5.21,16.48,0.159,A3V
8.58,3.83,0.166,A3V
7.37,5.11,0.167,A3V
6.01,9.84,0.17,A3V
8.87,4.62,0.171,A3V
7.57,8.3,0.173,A3V
8.74,2.36,0.18,A3V
8.34,5.69,0.185,A3V
7.28,12,0.192,A3V
8.62,2.87,0.196,A3V
8.99,2.68,0.23,A3V
8.66,4.6,0.16,A3Vn
8.3,4.16,0.248,A4III/IV
6.4,9.18,0.135,A4IV
8.81,4.94,0.157,A4IV
6.01,8.61,0.162,A4IV
8.26,3.07,0.231,A4IV
7.54,6.94,0.203,A4IV/V
6.77,7.07,0.097,A4V
5.59,13.3,0.105,A4V
7.83,4.04,0.173,A4V
7.96,7.76,0.181,A4V
8.56,3.95,0.196,A4V
9.31,4.29,0.2,A4V
8.13,8.11,0.2,A4V
6.5,11.47,0.205,A4V
8.74,6.19,0.212,A4V
5.35,4.01,0.528,A4V comp SB
6.47,8.65,0.242,A4Vm
9.2,2.02,0.161,A4Vs
8.1,2.64,0.199,A5/A6V
5.42,11.31,0.146,A5III
6.12,8.98,0.162,A5III
9.2,4.06,0.228,A5III
7.48,10.3,0.246,A5III
8.03,7.01,0.237,A5III/IV
7.8,6.94,0.26,A5III/IVm..
8.43,2.19,0.1,A5IV
6.08,11.94,0.133,A5IV
8.58,4.09,0.178,A5IV
6.88,8.21,0.18,A5IV
6.97,9.78,0.18,A5IV
6.74,9.62,0.191,A5IV
9.44,1.76,0.225,A5IV
9.49,6.11,0.276,A5IV
8.92,1.09,0.155,A5IV/V
4.78,16.48,0.12,A5IV-V
3.86,23.93,0.13,A5V
7.7,5.89,0.151,A5V
8.86,3.62,0.154,A5V
6.72,3.37,0.17,A5V
4.95,18.71,0.17,A5V
7.82,2.43,0.182,A5V
7.94,4.94,0.21,A5V
10.82,4.31,0.222,A5V
7.77,9.25,0.231,A5V
7.89,5.33,0.236,A5V
8.34,4.09,0.246,A5V
9.43,2.26,0.39,A5V
9.34,2.23,0.44,A5V
8.81,3.86,0.54,A5V
2.64,54.74,0.165,A5V...
6.52,14.39,0.214,A5Vn
2.66,32.81,0.16,A5Vv SB
6.49,1.1,0.776,A6Iab
6.34,7.37,0.164,A6V
6.33,7.55,0.182,A6V
6.09,12.12,0.186,A6V
7.28,4.08,0.187,A6V
8.57,1.61,0.188,A6V
7.01,6.41,0.192,A6V
9.52,2.48,0.261,A6V
8.68,3.85,0.3,A6V
6.62,4.63,0.478,A7/8V + G
6.76,2.39,0.433,A7II
7.61,5.55,0.254,A7III
6.82,11.33,0.257,A7III
5.2,17.62,0.271,A7III
6.01,8.56,0.203,A7IV
8.2,4.1,0.214,A7IV
6.11,6.65,0.265,A7IV
9.26,4.59,0.3,A7IV
5.21,22.09,0.32,A7IV
3.93,42.51,0.175,A7V
8.04,5.89,0.206,A7V
8.54,4.59,0.23,A7V
8.91,3.73,0.237,A7V
8.15,3,0.256,A7V
8.02,6.29,0.269,A7V
8.41,3.81,0.275,A7V
8.23,7.21,0.287,A7V
5.94,15.01,0.297,A7V
8.86,6.03,0.348,A7V
5.87,8.27,0.635,A7V...
7.87,9.31,0.23,A7Vn
4.34,23.73,0.17,A7Vvar
7.23,9.43,0.27,A8/A9IV
8.91,4.33,0.315,A8/A9IV
7.24,9.61,0.286,A8/A9IV/V
9.81,0.93,0.277,A8/A9V
10.38,6.07,0.3,A8/A9V
9.77,6.67,0.306,A8/A9V
8.79,5.13,0.325,A8/A9V
8.49,5.7,0.279,A8III
8.57,5.54,0.3,A8III
8.8,4.94,0.331,A8III
8.21,7.61,0.329,A8III/IV
7.67,8.06,0.271,A8IV
7.01,6.62,0.293,A8IV/V
9.55,4.85,0.533,A8IV/V
7.66,9.2,0.308,A8IV+...
7.15,7.65,0.222,A8V
8.03,7.33,0.243,A8V
8.53,5.97,0.245,A8V
8.93,1.84,0.248,A8V
7.03,10.77,0.248,A8V
8.52,7.67,0.257,A8V
6.98,6.54,0.271,A8V
7.47,3.52,0.285,A8V
8.57,6.08,0.301,A8V
8.89,3.64,0.308,A8V
10.78,1.25,0.328,A8V
6.49,10.31,0.286,A9/F0III
7.45,9.78,0.332,A9/F0IV
6.59,11.44,0.303,A9/F0V
9.91,5.59,0.353,A9/F0V
9.63,3.44,0.399,A9/F0V
8.72,9.95,0.428,A9/F0V
7.94,0.92,0.501,A9Iab:
7.97,10.51,0.376,A9II
6.55,4.61,0.256,A9III
8.38,5.52,0.318,A9III
7.69,5.21,0.354,A9III
8.63,6.23,0.294,A9III/IV
7.74,6.34,0.26,A9IV
7.62,6.23,0.293,A9IV
7.15,9.94,0.312,A9IV
7.73,6.03,0.33,A9IV
7.72,5.82,0.26,A9IV/V
9.08,6.53,0.315,A9IV/V
5.63,12.15,0.214,A9IV:
5.95,13.62,0.281,A9IV: (+F/G)
9.31,6.51,0.226,A9V
7.93,5.91,0.237,A9V
6.66,11.16,0.24,A9V
6.46,9.68,0.248,A9V
8.53,5.03,0.261,A9V
6.78,8.63,0.261,A9V
6.71,7.29,0.264,A9V
7.3,11.41,0.264,A9V
9.19,2.19,0.282,A9V
6.89,11.5,0.292,A9V
8.51,4.99,0.295,A9V
8.69,7.5,0.303,A9V
8.96,4.39,0.306,A9V
8.93,4.76,0.31,A9V
9.2,4.96,0.31,A9V
7.57,5.14,0.312,A9V
7.14,10.5,0.312,A9V
9.68,3.92,0.314,A9V
6.91,12.89,0.314,A9V
7.14,3.74,0.318,A9V
9.68,3.53,0.326,A9V
10.34,3.05,0.335,A9V
9.38,6.04,0.338,A9V
10.41,4.11,0.355,A9V
9.21,3.5,0.36,A9V
8.51,5.78,0.36,A9V
8.7,6.14,0.362,A9V
9.21,3.24,0.373,A9V
9.23,4.79,0.377,A9V
9.08,6.86,0.398,A9V
8.99,4.65,0.402,A9V
8.35,-0.37,0.14,B0.2IV
8.52,0.49,0.22,B0.5III
6.93,0.65,0.24,B0.5III
8.3,0.39,0.382,B0.5III
8.96,0.87,0.41,B0.5III
8.32,0.19,0.495,B0.5III
8.13,0.53,0.154,B0.5IIIn...
8.74,-1.11,0.188,B0.5IV...
7.29,0.07,-0.012,B0.5V
10.5,2.53,0.66,B0.5V
7.99,0.98,-0.236,B0.7Vn...
9.19,-0.78,0.704,B0Ib
8.59,-0.56,0.36,B0Ibp
9.35,0.87,0.43,B0III
8.17,2.24,0.06,B0IV
2.15,5.32,-0.046,B0IV:evar
9.09,-1.8,0.644,B1.5Ia
7.74,-0.48,0.554,B1.5Ib
7.93,0.72,-0.05,B1.5II
9.58,1.79,0.204,B1.5III
8.14,1.15,0.02,B1.5III-IVn
8.47,0.47,-0.18,B1.5IV
5.53,3.17,-0.175,B1.5V
8.42,0.1,-0.157,B1.5Vn...
8.08,2.94,0.221,B1:V:pe
4.17,0.79,0.13,B1Ia
9.64,1.23,0.57,B1Ib
8.26,0.72,0.47,B1Ibp
8.7,2.31,-0.045,B1II
9.33,2.8,0.15,B1II
8.82,0.36,0.538,B1II
7.63,0,0.267,B1II...
6.94,0.22,0.059,B1III
7.1,-0.18,0.307,B1III
9.6,-1.65,0.197,B1IV
8.59,1.85,0.448,B1IV:nn
7.4,0.67,-0.134,B1V
6.91,1.07,-0.023,B1V
6.7,1.66,-0.017,B1V
9.41,-1.03,0.004,B1V
10.07,-1.88,0.24,B1V
9.95,-3.05,0.266,B1V
7.18,2.3,0.031,B1V SB
9.81,1.15,0.18,B1V:pe
9.99,1.64,0.131,B1Vv SB
10.96,0.19,-0.049,B2.5Iab:
5.89,3.81,-0.146,B2.5IV
4.8,2.94,-0.105,B2.5V
7.71,2.77,-0.041,B2.5V
10.24,0.12,0.57,B2.5V
7.67,3.29,-0.046,B2.5Vn
7.43,1.05,0.279,B2Ib
9.02,-1.13,0.084,B2III
8.69,1.91,0.256,B2III
8.81,0.16,0.26,B2III
7.82,1.41,0.337,B2III
10.34,0.55,0.53,B2III
6.86,1.79,0.047,B2IIIne+...
3.69,5.46,-0.196,B2IV
2.83,9.79,-0.19,B2IV
8.67,0.49,0.263,B2IV
7.94,2.79,-0.023,B2IVne+...
6.82,1.13,-0.055,B2IV-V
6.71,1.21,-0.116,B2V
7.52,1.76,-0.096,B2V
7.39,2.05,-0.013,B2V
11.25,-1.98,0.218,B2V
10.66,0.63,0.505,B2V
7.06,3.78,0.004,B2Vne
4.01,4.55,-0.098,B2Vpe
6.24,0.93,0.332,B3Ia
7.89,0.97,0.457,B3Ia
8.51,0.58,0.616,B3Ia
11.04,1.69,-0.015,B3Ia:
8.35,0.65,0.515,B3Ib
9.22,1.7,0.21,B3II
9.59,1.12,0.76,B3II
7.12,2.63,0.019,B3III
8.16,2.02,-0.127,B3V
7.79,2.46,-0.089,B3V
6.53,3.06,-0.081,B3V
6.61,2.13,0.025,B3V
7.47,2.03,0.043,B3V
8.44,3,0.068,B3V
8.33,2.76,0.39,B3Vne
0.45,22.68,-0.158,B3Vp
7.98,1.28,0.067,B4IV
7.39,3.24,-0.165,B4V
5.04,6.4,-0.15,B4V
6.87,-1.15,0.494,B5Ia
7.52,-0.58,0.48,B5Iab
8.83,-1.79,0.724,B5Iab
7.23,2.44,0.287,B5Ib
7.59,-1.31,0.309,B5Ib
10.11,-0.07,0.32,B5II
8.85,2.4,0.574,B5II
7.09,2.16,0.137,B5II: SB
9.32,1.27,-0.154,B5III
4.48,3.6,-0.069,B5III
6.02,4.52,-0.042,B5III
5.58,2.38,-0.11,B5IV
8.85,2.06,-0.126,B5V
4.34,4.97,-0.123,B5V
7.05,3.15,-0.122,B5V
8.24,1.42,0.08,B5V
4.53,4.8,-0.136,B5V SB
5.66,4.29,-0.113,B5V...
8.86,0.38,0.226,B5V...
10.84,-1.66,0.045,B6Ia
7.62,0.83,0.333,B6Ia
8.48,-0.68,0.651,B6Iab
6.99,1.18,0.412,B6Ib
6.5,5.33,-0.108,B6III/IV
10.9,0.82,0.469,B6III-IV
6.97,4.34,-0.106,B6V
6.18,4.55,-0.1,B6V
3.94,11.66,-0.12,B6V + B0V
9.7,-1.61,0.348,B6Ve
10.32,0.62,-0.119,B7/B8V
6.33,3.19,0.013,B7II
5.08,6.45,-0.098,B7III
5.86,3.42,-0.079,B7III
4.26,4.43,0.012,B7III
8.96,1.78,0.188,B7III
8.97,1.74,0.674,B7IIIe+K3III
5.13,7.98,-0.128,B7III-IV
5.8,3.56,-0.095,B7III-IV
6.39,3.48,-0.103,B7IIIMNp...
4.3,4.85,-0.154,B7IIIp
6.74,6.52,-0.074,B7IV
8.71,2.7,0.052,B7IV
5.89,5.6,-0.098,B7V
6.72,5.26,-0.015,B7V
9.43,-0.5,0.08,B7V
7.43,0.99,0.09,B7V
8.87,4.22,0.09,B7V
8.27,1.62,0.146,B7V
7.87,4.21,-0.093,B8.5V
6.37,5.13,-0.081,B8/B9V
9.51,0.44,-0.08,B8/B9V
7.77,4.1,-0.058,B8/B9V
7.4,0.53,0.24,B8Iab
10.27,-1.88,0.099,B8Iab:e
5.59,0.94,0.325,B8Ib
9.11,-0.74,0.473,B8Ib
9.55,0.39,0.868,B8Ib
8.3,0.1,-0.111,B8II
8.02,1.83,0.072,B8II
8.86,2.8,0.14,B8II
8.8,2.51,0.17,B8II
8.61,0.99,0.444,B8II
5.59,5.7,-0.1,B8III
4.97,4.65,-0.084,B8III
5.97,6.52,-0.082,B8III
6.77,2.53,-0.073,B8III
4.99,4.41,-0.071,B8III
4.96,4.79,-0.068,B8III
5.42,4.06,-0.066,B8III
8.54,1.4,-0.035,B8III
6.35,2.24,-0.027,B8III
8.56,3.36,0.1,B8III
7.6,1.47,0.101,B8III
9.28,1.4,0.16,B8III
7.85,4.42,0.168,B8III
6.51,4.65,-0.07,B8IIIMNp...
5.78,3.57,-0.01,B8IIIn
6.69,3.28,-0.026,B8IIIp (Si)
6.43,6.69,-0.146,B8IIIsp...
7.58,3.55,-0.115,B8V
9.6,0.62,-0.105,B8V
8.84,2.58,-0.104,B8V
7.09,4.24,-0.085,B8V
7.82,3.69,-0.079,B8V
6.1,4.71,-0.074,B8V
