Temp(K),Mass(sun=1),Type_Encoded,end_Type_Encoded,Spec_Encoded,MMK_Encoded
9136.598,61.75660531,7,3,0,6
8470.729,1.020285563,8,2,0,3
8302.107,1162.345966,8,2,0,3
6393.147,13768983149,8,2,0,4
4609.883,10329.10108,8,2,0,4
5649.402,599953.9567,8,2,0,5
9136.598,12026.42393,6,3,0,0
10426.471,122.9028207,6,3,0,1
10275.361,3364.254796,6,3,0,1
9957.865,292.9717831,6,3,0,1
10042.492,1507.637525,7,3,0,2
9819.944,23.05199011,7,3,0,2
9529.569,947.5073188,7,3,0,2
8785.625,190.2107998,7,3,0,2
7966.2915,3082.536071,7,3,0,2
9378.307,225.7664625,7,3,0,2
9365.918,468.0605094,7,3,0,2
8918.239,262.4628232,7,3,0,2
10071.021,90.15809094,7,3,0,6
9985.915,206.8922843,7,3,0,6
9806.361,65.69717198,7,3,0,6
9765.84,46.29668536,7,3,0,6
9752.406,24.75043328,7,3,0,6
9607.046,118.7497182,7,3,0,6
9594.046,3913.871321,7,3,0,6
9555.256,119.0702721,7,3,0,6
9542.3955,124.5634916,7,3,0,6
9478.609,931.7730623,7,3,0,6
9478.609,171.8979325,7,3,0,6
9390.728,47.64035376,7,3,0,6
9353.562,40.50725271,7,3,0,6
9341.238,406.889563,7,3,0,6
9316.688,10.1123005,7,3,0,6
9267.974,299.8859879,7,3,0,6
9183.9375,116.3073025,7,3,0,6
9172.057,134.3186948,7,3,0,6
9136.598,738.2780427,7,3,0,6
8851.436,80.47479063,7,3,0,6
8699.386,47.28346222,7,3,0,6
8604.369,154.5137157,7,3,0,6
8593.938,535.4535693,7,3,0,6
8440.476,308.9654088,7,3,0,6
8400.474,71.5807786,7,3,0,6
8225.058,53678.2831,7,3,0,6
8187.0664,14.08843857,7,3,0,6
7791.2085,6.38397124,7,3,0,6
7510.5933,82.23921612,7,3,0,6
6540.5903,12.35254452,7,3,0,6
6504.587,28.26854896,7,3,0,6
10550.595,77.47853756,7,3,0,6
9943.899,504.6012263,7,3,0,6
9819.944,223.3858352,7,3,0,6
10042.492,494.6664004,7,3,0,6
9999.999,518.2565937,7,3,0,6
9195.85,3182.704896,7,3,0,6
8829.39,91.76114297,7,3,0,2
8056.8184,6.037579079,7,3,0,2
5391.635,285423.7231,8,2,0,3
5224.7603,3954496.243,8,2,0,3
6540.5903,77440.87557,8,2,0,4
7132.797,3001524.943,6,3,0,1
8862.5,85.28226957,7,3,0,2
9847.222,786.8211666,7,3,0,2
8420.428,909.4870289,7,3,0,2
9847.222,186.8818393,7,3,0,6
9847.222,104.362609,7,3,0,6
9765.84,215.6230228,7,3,0,6
9725.651,3765.128932,7,3,0,6
9725.651,68.06463568,7,3,0,6
9712.328,279.6250675,7,3,0,6
9465.954,24.46540774,7,3,0,6
9440.745,97.00265369,7,3,0,6
9365.918,49.58074671,7,3,0,6
9231.7705,90.1712016,7,3,0,6
9207.792,1.927648828,7,3,0,6
9078.1045,33.8026526,7,3,0,6
9020.356,44.46533187,7,3,0,6
8974.684,41.78881624,7,3,0,6
8940.73,366.1122625,7,3,0,6
8884.711,702.719176,7,3,0,6
8818.408,314.0386411,7,3,0,6
8720.787,111.8693992,7,3,0,6
8688.725,109.2255393,7,3,0,6
8646.341,109.1819636,7,3,0,6
8282.71,19.4002465,7,3,0,6
8273.046,680.6050435,7,3,0,6
8234.61,74.16940412,7,3,0,6
8112.128,110.6122883,7,3,0,6
8112.128,54.74902276,7,3,0,6
6688.6787,158.687814,7,3,0,6
10071.021,364.1245774,7,3,0,6
9929.972,726.0646062,7,3,0,6
9874.651,208.9302697,7,3,0,6
9806.361,154.1090079,7,3,0,6
9465.954,89.87149196,7,3,0,6
8997.461,215.2807136,7,3,0,6
7782.6562,13.76855772,7,3,0,6
9267.974,136.3713078,7,3,0,6
7393.1177,1353.273572,7,3,0,2
8646.341,231.7276285,7,3,0,6
8400.474,58.9761627,7,3,0,6
8206.019,53.95037783,7,3,0,6
8430.439,209.6720415,6,3,0,1
7869.034,613.7007042,6,3,0,1
7447.479,8.676046458,6,3,0,1
7183.3843,10.32251311,6,3,0,1
8884.711,190.474538,7,3,0,2
8818.408,2549.744034,7,3,0,2
8056.8184,212.5481999,7,3,0,2
7757.1113,43.53081665,7,3,0,2
8774.752,155.7948525,7,3,0,2
8311.84,714.7660056,7,3,0,2
7765.6074,25.14669629,7,3,0,2
9874.651,417.2439186,7,3,0,6
9478.609,1250.239243,7,3,0,6
9465.954,653.128019,7,3,0,6
9160.206,85.44802335,7,3,0,6
9101.411,736.6114364,7,3,0,6
9066.496,861.4102632,7,3,0,6
9020.356,105.3899008,7,3,0,6
8997.461,60.02922282,7,3,0,6
8997.461,94.03039624,7,3,0,6
8840.398,1926.723276,7,3,0,6
8840.398,84.43617798,7,3,0,6
8807.453,74.43544021,7,3,0,6
8763.906,195.4710025,7,3,0,6
8731.526,99.11501477,7,3,0,6
8667.481,128.5246611,7,3,0,6
8635.81,83.06753585,7,3,0,6
8562.802,26.83872236,7,3,0,6
8542.168,27.77090063,7,3,0,6
8470.729,30.23299984,7,3,0,6
8253.783,51.78794844,7,3,0,6
8234.61,121.7222727,7,3,0,6
8177.6235,182.1649994,7,3,0,6
8056.8184,368.4848191,7,3,0,6
7648.3276,56.20692362,7,3,0,6
9819.944,674.6682552,7,3,0,6
8511.404,24.42463176,7,3,0,6
9555.256,626.196014,7,3,0,6
9292.268,307.9352318,7,3,0,6
8974.684,67.00060523,7,3,0,6
7205.284,2.626003681,6,3,0,1
7205.284,61.57529447,6,3,0,0
6950.9805,1.19185995,6,3,0,0
9101.411,335.4852755,6,3,0,1
8292.397,275.9009625,6,3,0,1
8084.3784,45.70787155,6,3,0,1
7957.351,35.1597735,6,3,0,1
7631.862,1858.690691,6,3,0,1
7471.022,24.16482169,6,3,0,1
7400.8345,21.25006422,6,3,0,1
7309.2783,9.526927363,6,3,0,1
8177.6235,270.210736,7,3,0,1
7631.862,536.180095,7,3,0,1
8321.597,4568.437442,7,3,0,2
8273.046,29.02906034,7,3,0,2
8020.3613,41.67377842,7,3,0,2
8311.84,255.5582472,7,3,0,2
10742.424,639.5761395,7,3,0,6
9739.011,158.8820746,7,3,0,6
9428.191,1317.650709,7,3,0,6
9207.792,495.8612435,7,3,0,6
